i    f(n)       n
1    1          1
2    2          2
6    6          3
3    120        5
9    720        6
27   362880     9
7    7          13
4    121        15
10   721        16
28   362881     19
8    8          23
5    122        25
11   722        26
29   362882     29
15   726        36
33   362886     39
12   48         44
24   362904     49
18   5760       67
30   362883     129
16   727        136
34   362887     139
13   49         144
25   362905     149
19   5761       167
31   362884     229
17   728        236
35   362888     239
26   362906     249
14   842        256
20   5762       267
21   362910     349
32   362885     1229
36   362889     1239
22   362911     1349
23   362912     2349
39   367968     4479
37   362899     13339
40   367969     14479
38   725888     23599
42   367998     344479
43   367999     1344479
41   368888     2355679
44   488888     2378889
45   488889     12378889
46   488899     133378889
47   887888     2356888899
48   887889     12356888899
49   887899     133356888899
50   897989     12245677888899
51   889998     34446666888899
52   889999     134446666888899
53   2988989    12245578899999999
54   2988999    123345578899999999
55   3998899    1333666799999999999
56   3999989    12245556666799999999999
57   3999999    123345556666799999999999
58   6899899    1333579999999999999999999
59   7989989    122456679999999999999999999999
60   7989999    1233456679999999999999999999999
61   7999999    13444667779999999999999999999999
62   9999989    1224555558888899...25x
63   9999999    12334555558888899...25x
64   19999999   1344455556899...53x
65   29999999   12233344445556688888899...80x
66   39999999   123345556668899...108x
67   49999999   13444556666888888899...135x
68   59999999   122333444456666688899...163x
69   69999999   1233456666668888888899...190x
70   79999999   134447888899...218x
71   89999999   122333444455555799...246x
72   99999999   1233455555678888899...273x
73   199999999  13444555566677899...549x
74   299999999  12233344445556666677788888899...824x
75   399999999  12334555777778899...1100x
76   499999999  134445566777777888888899...1375x
77   599999999  122333444456666777777788899...1651x
78   699999999  12334566666699...1927x
79   799999999  134446778888899...2202x
80   899999999  12233344445555566777899...2478x
81   999999999  12334555556666777788888899...2753x
82   1999999999 134445555667888899...5509x
83   2999999999 1223334444555777777899...8265x
84   3999999999 1233455566666778888888899...11020x
85   4999999999 134445566677777778888899...13776x
86   5999999999 122333444456777788899...16532x
87   6999999999 123345666666899...19288x
88   7999999999 13444666677777888888899...22043x
89   8999999999 1223334444555556778888899...24799x
90   9999999999 12334555556666667777778899...27555x
91   19999999999 134445555666666777778888899...55112x
92   29999999999 122333444455566666677778888888899...82669x
93   39999999999 123345556666667778899...110227x
94   49999999999 1344455666666778888899...137784x
95   59999999999 1223334444566666678888888899...165341x
96   69999999999 1233456666668899...192899x
97   79999999999 134446666667777777888899...220456x
98   89999999999 12233344445555566666777777888888899...248013x
99   99999999999 12334555556666677777899...275571x
100  199999999999 134445555666677788899...551144x
